GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_003,ru.sort,SortingDep,4,151,0,14,1,30,1,11,1,4
chapter_003,ru.sort,SortUser,13,23,0,0,3,6,1,3,1,3
chapter_003,ru.sort,User,9,15,0,0,4,5,3,2,3,2
chapter_003,ru.sort,SortUser.new Comparator() {...},0,24,0,2,0,5,0,3,0,2
chapter_003,ru.sort,SortUser.new Comparator() {...},14,0,0,0,2,0,2,0,2,0
chapter_003,ru.search,Task,0,15,0,0,0,6,0,3,0,3
chapter_003,ru.search,PhoneDictionary,0,46,0,0,0,8,0,4,0,4
chapter_003,ru.search,Person,9,18,0,0,3,7,3,2,3,2
chapter_003,ru.search,PriorityQueue,0,53,0,2,0,10,0,5,0,4
chapter_003,ru.bank,Account,38,49,8,4,6,14,8,5,2,5
chapter_003,ru.bank,User,6,18,0,0,3,6,2,3,2,3
chapter_003,ru.bank,Bank,113,143,11,1,21,22,12,12,6,12
chapter_003,ru.list,User,24,0,0,0,10,0,5,0,5,0
chapter_003,ru.list,UserConvert,24,0,0,0,4,0,3,0,3,0
chapter_003,ru.list,ConvertList2Array,1,145,1,1,0,18,1,3,0,3
chapter_003,ru.list,ConvertMatrix2List,0,12,0,0,0,3,0,2,0,2
chapter_003,ru.comparator,ListCompare,0,46,0,8,0,9,0,6,0,2
